track_id,track,artist,artistid,all_artists_names,all_artists_ids,collaboration,album,album_id,track_release_date,track_popularity,track_year,genre_extracted,artist_popularity,artist_followers,artist_genres,album_name,album_type,total_tracks,album_release_date,label,album_artists,artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
1KIZwblKdC0v1ndP3CyLr4,Entre Tú Y Yo,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,False,Nuestra Manera De Hablar,4qpUDZWfp6kYpuEDhC8CZC,2020-03-06,49,2020,pop,50,76180,"flamenco, flamenco pop",Nuestra Manera De Hablar,album,13,2020-03-06,Universal Music Spain S.L.,El Duende Callejero,El Duende Callejero,Entre Tú Y Yo,https://www.last.fm/music/El+Duende+Callejero/_/Entre+T%C3%BA+Y+Yo,1678.0,8702.0,
1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,False,THE ALBUM,71O60S5gIJSIAhdnrDIh3N,2020-10-02,72,2020,pop,82,57194978,k-pop,THE ALBUM,album,8,2020-10-02,YG Entertainment/Interscope Records,BLACKPINK,BLACKPINK,Pretty Savage,https://www.last.fm/music/BLACKPINK/_/Pretty+Savage,573215.0,8771779.0,"k-pop, pop, trap, 2020, dance"
17wwjEdG0c4aO4LP8k0B5M,Poquito A Poco,El Arrebato,2dJyJptNE5bMmbN6z08iNJ,"El Arrebato, Camela","2dJyJptNE5bMmbN6z08iNJ, 6flBUmmOMLNhD4EJhGwgpG",True,+ Abrazos (Edición Especial),72no8xxs9QIrLzJmUb7luX,2020-12-03,49,2020,pop,61,916307,"flamenco, flamenco pop",+ Abrazos (Edición Especial),album,16,2020-12-03,Universal Music Spain S.L.,El Arrebato,El Arrebato,Poquito A Poco,https://www.last.fm/music/El+Arrebato/_/Poquito+A+Poco,8805.0,27018.0,
0Dknud8D2I3cl8tjGXqI9s,Volverte A Ver,Galvan Real,2iA56rE7fZUnD4GdsSUj3G,Galvan Real,2iA56rE7fZUnD4GdsSUj3G,False,Volverte A Ver,5LG4JDBuqrzrW4XQbu6b5n,2020-12-16,56,2020,latin,61,357821,"flamenco, flamenco pop, flamenco urbano",Volverte A Ver,single,1,2020-12-16,Galvan Real,Galvan Real,Galvan Real,Volverte A Ver,https://www.last.fm/music/Galvan+Real/_/Volverte+A+Ver,927.0,4988.0,
1l64KG4yHp19mWBhGVnZUj,Nuestra Historia,Kike & Manu,1fG28qIFkvShX2nhQZvuqC,"Kike & Manu, Ozarus","1fG28qIFkvShX2nhQZvuqC, 4DnQtKDnMN03ahgfDWcmJz",True,Nuestra Historia,1lxlCm7jFWJHiSqWBAwKNL,2020-10-30,47,2020,pop,48,28349,"flamenco pop, flamenco, flamenco urbano",Nuestra Historia,single,1,2020-10-30,Kike & Manu,Kike & Manu,Kike & Manu,Nuestra Historia,https://www.last.fm/music/Kike+&+Manu/_/Nuestra+Historia,320.0,1105.0,
4Dudxfs93t2B6s2LxgVJ3s,Novia Moderna,Lin Cortés,3SBsCnbQ5q8bOW0uBcwG54,Lin Cortés,3SBsCnbQ5q8bOW0uBcwG54,False,Gitanerías,1Grk4ZLstnZlqoZDFFIpzO,2020-03-27,47,2020,pop,44,50198,"flamenco, flamenco pop, flamenco urbano",Gitanerías,single,5,2020-03-27,BMG Rights Management and Administration (Spain) S.L.U,Lin Cortés,Lin Cortés,Novia Moderna,https://www.last.fm/music/Lin+Cort%C3%A9s/_/Novia+moderna,2473.0,11026.0,
727Z2S2mtNH46CbP9EWPwY,If You Love Her,Forest Blakk,7q7IUe2AqtifSZ2q52kHFc,Forest Blakk,7q7IUe2AqtifSZ2q52kHFc,False,If You Love Her,5hgwPA78vCrhEDaTazNMyR,2020-09-30,78,2020,pop,67,277740,spoken word,If You Love Her,single,1,2020-09-30,Atlantic Records,Forest Blakk,Forest Blakk,If You Love Her,https://www.last.fm/music/Forest+Blakk/_/If+You+Love+Her,150710.0,1220050.0,
0eFMbKCRw8KByXyWBw8WO7,Still With You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,False,Still With You,0i3baFZqWSrjjgTWrhKunB,2020-06-05,81,2020,pop,82,19103347,k-pop,Still With You,single,1,2020-06-05,BIGHIT MUSIC,Jung Kook,Jung Kook,Still With You,https://www.last.fm/music/Jung+Kook/_/Still+With+You,546347.0,21980771.0,"pop, soul, rnb, bts, Korean"
13P4hNlnCc3Rjxjse5JemG,Una Aventura,Galvan Real,2iA56rE7fZUnD4GdsSUj3G,Galvan Real,2iA56rE7fZUnD4GdsSUj3G,False,Una Aventura,522J6iAhY9CyhJ8BLNAt2M,2020-03-16,46,2020,latin,61,357821,"flamenco, flamenco pop, flamenco urbano",Una Aventura,single,1,2020-03-16,Galvan Real,Galvan Real,Galvan Real,Una Aventura,https://www.last.fm/music/Galvan+Real/_/Una+Aventura,828.0,4363.0,
2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,"Miley Cyrus, Dua Lipa","5YGY8feqx7naU7z4HrwZM6, 6M2wZ9GZgrQXHCFfjv46we",True,Plastic Hearts,5BRhg6NSEZOj0BR6Iz56fR,2020-11-27,72,2020,pop,83,26962729,,Plastic Hearts,album,15,2020-11-27,RCA Records Label,Miley Cyrus,Miley Cyrus,Prisoner (feat. Dua Lipa),https://www.last.fm/music/Miley+Cyrus/_/Prisoner+(feat.+Dua+Lipa),632374.0,6424116.0,"new wave, rock, pop, synthpop, pop rock"
12oFSoib1tf0r2rd1Fgsfe,Convénceme,India Martinez,6FOpWOxsjQxKEbLiJpU1xV,"India Martinez, Marc Anthony","6FOpWOxsjQxKEbLiJpU1xV, 4wLXwxDeWQ8mtUIRPxGiD6",True,Convénceme,6oxouERjg3yRQALERagHVx,2020-10-01,52,2020,pop,63,1071640,"flamenco, flamenco pop",Convénceme,single,1,2020-10-01,Sony Music Entertainment,India Martinez,India Martinez,Convénceme,https://www.last.fm/music/India+Martinez/_/Conv%C3%A9nceme,6359.0,23516.0,
1QI2vlx6cId1xEtKFj6e0r,Todavía,Borja Rubio,79NHJFzd1chgx30ZOavJaC,"Borja Rubio, Galvan Real","79NHJFzd1chgx30ZOavJaC, 2iA56rE7fZUnD4GdsSUj3G",True,Todavía,2R4sR6QreuZam8BkHdSMHs,2020-03-30,50,2020,latin,43,39156,"flamenco, flamenco pop, flamenco urbano",Todavía,single,1,2020-03-30,Pep's Records,Borja Rubio,Borja Rubio,Todavía,https://www.last.fm/music/Borja+Rubio/_/Todav%C3%ADa,516.0,2607.0,
1x6MOPcwUC5xEQNC7ua23r,A La Calle,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,El Duende Callejero,0jRYL7EhQ5whZZyrf9XQa9,False,A La Calle,6yhpp5SjtpnGvIxJ3fRYRf,2020-07-16,47,2020,pop,50,76180,"flamenco, flamenco pop",A La Calle,single,1,2020-07-16,Universal Music Spain S.L.,El Duende Callejero,El Duende Callejero,A La Calle,https://www.last.fm/music/El+Duende+Callejero/_/A+La+Calle,1094.0,5112.0,
5EbtodsuLbxrFDH6j5avVS,El Mismo Aire - con Pablo Alborán,Camilo,28gNT5KBp7IjEOQoevXf9N,"Camilo, Pablo Alborán","28gNT5KBp7IjEOQoevXf9N, 5M9Bb4adKAgrOFOhc05Y50",True,El Mismo Aire (con Pablo Alborán),3E3coJkwv6rbqUTiw1qLZ6,2020-06-10,75,2020,latin,80,20575109,"colombian pop, pop urbano",El Mismo Aire (con Pablo Alborán),single,1,2020-06-10,Sony Music Latin,Camilo,Camilo,El Mismo Aire - con Pablo Alborán,https://www.last.fm/music/Camilo/_/El+Mismo+Aire+-+con+Pablo+Albor%C3%A1n,57594.0,443774.0,
5MINUtX7hvYaaWwNRrp1hl,Dancing In the Moonlight,Bossa Nova Covers,6lkrkVSqgzJZz2jguafSAy,"Bossa Nova Covers, Mats & My","6lkrkVSqgzJZz2jguafSAy, 3NP2Tqcgz3vv8e40BfnYm3",True,Bossa Nova Covers,0KEmmW5iXwzpaSlaamlizL,2020-05-08,65,2020,pop,66,89728,bossa nova,Bossa Nova Covers,album,10,2020-05-08,Cupol,Bossa Nova Covers,Bossa Nova Covers,Dancing In the Moonlight,https://www.last.fm/music/Bossa+Nova+Covers/_/Dancing+In+the+Moonlight,18034.0,59915.0,
4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,False,Plastic Hearts,5BRhg6NSEZOj0BR6Iz56fR,2020-11-27,71,2020,pop,83,26962729,,Plastic Hearts,album,15,2020-11-27,RCA Records Label,Miley Cyrus,Miley Cyrus,Midnight Sky,https://www.last.fm/music/Miley+Cyrus/_/Midnight+Sky,665740.0,11164748.0,"pop, synthpop, Disco, pop rock, rock"
5tgG8XytqAxYgJoFu9xFcX,Como no te voy a querer,JdM,7ez78WxaZ9Rhwb0A4CEVxV,"JdM, Galvan Real, Dr. López","7ez78WxaZ9Rhwb0A4CEVxV, 2iA56rE7fZUnD4GdsSUj3G, 3bknToB9wbxYndODuEbVIW",True,Como no te voy a querer,0soOIjZaH5ylQg0oX6eNJi,2020-07-03,49,2020,latin,37,7344,"flamenco, flamenco pop, flamenco urbano",Como no te voy a querer,single,1,2020-07-03,JdM,JdM,JdM,Como no te voy a querer,https://www.last.fm/music/JDM/_/Como+no+te+voy+a+querer,396.0,1505.0,
1bEhmOoBkeINjLcLA2z0rp,Deseos de cosas imposibles,Valeria Castro,7JTVqKJ414qRPuDPhdKnHD,Valeria Castro,7JTVqKJ414qRPuDPhdKnHD,False,Deseos de cosas imposibles,7tD1j4gre4QQaFTCH3MpAk,2020-01-23,47,2020,indie,61,189073,,Deseos de cosas imposibles,single,1,2020-01-23,WM Spain,Valeria Castro,Valeria Castro,Deseos de cosas imposibles,https://www.last.fm/music/Valeria+Castro/_/Deseos+de+cosas+imposibles,1332.0,7538.0,
35qwAQ3oZeKAMhR3hCV9IM,Si Tú La Quieres,David Bisbal,5gOJTI4TusSENizxhcG7jB,"David Bisbal, Aitana","5gOJTI4TusSENizxhcG7jB, 7eLcDZDYHXZCebtQmVFL25",True,Si Tú La Quieres,7Hl7NKHiik1ckE2SI21RlU,2020-04-02,57,2020,latin,71,4856772,"latin pop, villancicos",Si Tú La Quieres,single,1,2020-04-02,Universal Music Spain S.L.,David Bisbal,David Bisbal,Si Tú La Quieres,https://www.last.fm/music/David+Bisbal/_/Si+T%C3%BA+La+Quieres,22546.0,161017.0,
4Tzw9IdZbVyzmpWrvsGaNX,Wildfires,SAULT,1uRxRKC7d9zwYGSRflTKDR,SAULT,1uRxRKC7d9zwYGSRflTKDR,False,Untitled (Black Is),0GPmuVuCdC5hCsiuy1wXle,2020-06-19,74,2020,pop,66,604211,,Untitled (Black Is),album,20,2020-06-19,Forever Living Originals,SAULT,SAULT,Wildfires,https://www.last.fm/music/Sault/_/Wildfires,300240.0,2055913.0,
0WA73uP8IO1rczj8FFJzRg,Gitana (feat. Sergio Contreras y Demarco Flamenco),Rasel,1uh9OOdPa89c5zPaOD6K2N,"Rasel, Sergio Contreras, Demarco Flamenco","1uh9OOdPa89c5zPaOD6K2N, 5QYdUMRHeBxlpJioqpIL0k, 4hFZibFsoIxictRvkZDjIc",True,Gitana (feat. Sergio Contreras y Demarco Flamenco),0r22cAwzYy7KOynWyRT6L3,2020-01-31,50,2020,latin,48,132696,"flamenco, flamenco pop, flamenco urbano",Gitana (feat. Sergio Contreras y Demarco Flamenco),single,1,2020-01-31,WM Spain,Rasel,Rasel,Gitana (feat. Sergio Contreras y Demarco Flamenco),https://www.last.fm/music/Rasel/_/Gitana+(feat.+Sergio+Contreras+y+Demarco+Flamenco),1683.0,6449.0,
5agt9CgF8dTRXgNtn1zflm,Si Tú La Quieres,David Bisbal,5gOJTI4TusSENizxhcG7jB,"David Bisbal, Aitana","5gOJTI4TusSENizxhcG7jB, 7eLcDZDYHXZCebtQmVFL25",True,En Tus Planes,4mFgW04qaWGcdhimbOZO8F,2020-12-10,63,2020,latin,71,4856772,"latin pop, villancicos",En Tus Planes,album,17,2020-12-10,Universal Music Spain S.L.,David Bisbal,David Bisbal,Si Tú La Quieres,https://www.last.fm/music/David+Bisbal/_/Si+T%C3%BA+La+Quieres,22546.0,161017.0,
7MXgrcOQAJ5VwSNUL0lDd3,Blinding Lights (with ROSALÍA) - Remix,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"The Weeknd, ROSALÍA","1Xyo4u8uXC1ZmMpatF05PJ, 7ltDVBr6mKbRvohxheJ9h1",True,Blinding Lights (Remix),7B70Z32Ha84aMT6TOnW410,2020-12-04,60,2020,pop,96,117164264,,Blinding Lights (Remix),single,1,2020-12-04,Republic Records,The Weeknd,The Weeknd,Blinding Lights (with ROSALÍA) - Remix,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights+(with+ROSAL%C3%8DA)+-+Remix,92490.0,447610.0,
20nWXGPfwZuvZfpK1CrF6t,Qué bonito,Valeria Castro,7JTVqKJ414qRPuDPhdKnHD,Valeria Castro,7JTVqKJ414qRPuDPhdKnHD,False,Qué bonito,6YFOEsBJhxOo2T05Y1eJLX,2020-02-27,48,2020,indie,61,189073,,Qué bonito,single,1,2020-02-27,WM Spain,Valeria Castro,Valeria Castro,Qué bonito,https://www.last.fm/music/Valeria+Castro/_/Qu%C3%A9+bonito,1794.0,8388.0,
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"Black Eyed Peas, Shakira","1yxSLGMDHlW21z4YXirZDS, 0EmeFodog0BfCgMzAIvKQp",True,TRANSLATION,0uxvuY8Ek2ojzHrWTg2PDc,2020-11-02,80,2020,pop,84,9907895,,TRANSLATION,album,15,2020-11-02,Epic,Black Eyed Peas,Black Eyed Peas,GIRL LIKE ME,https://www.last.fm/music/Black+Eyed+Peas/_/GIRL+LIKE+ME,345955.0,2416023.0,"pop, dance, rnb, Hip-Hop, pop rap"
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Joel Corry,6DgP9otnZw5z6daOntINxp,"Joel Corry, MNEK","6DgP9otnZw5z6daOntINxp, 7uMh23xWiuR7zsNkuNcm2G",True,Head & Heart (feat. MNEK),5glfCPECXSHzidU6exW8wO,2020-07-03,75,2020,pop,68,483019,dance pop,Head & Heart (feat. MNEK),single,1,2020-07-03,Atlantic Records UK,Joel Corry,Joel Corry,Head & Heart (feat. MNEK),https://www.last.fm/music/Joel+Corry/_/Head+&+Heart+(feat.+MNEK),385252.0,3231429.0,
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3Nrfpe0tUJi4K4DXYWgMUX,False,BE,6nYfHQnvkvOTNHnOhDT3sr,2020-11-20,81,2020,pop,89,82094169,k-pop,BE,album,8,2020-11-20,BIGHIT MUSIC,BTS,BTS,Dynamite,https://www.last.fm/music/BTS/_/Dynamite,1012431.0,152034048.0,"pop, bts, Disco, Kpop, Dynamite"
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,False,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,2020-03-27,77,2020,pop,88,47434402,pop,Future Nostalgia,album,11,2020-03-27,Warner Records,Dua Lipa,Dua Lipa,Physical,https://www.last.fm/music/Dua+Lipa/_/Physical,978896.0,18228184.0,"pop, synthpop, dance, dance-pop, electropop"
4rPkN1FMzQyFNP9cLUGIIB,Love Again,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,False,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,2020-03-27,78,2020,pop,88,47434402,pop,Future Nostalgia,album,11,2020-03-27,Warner Records,Dua Lipa,Dua Lipa,Love Again,https://www.last.fm/music/Dua+Lipa/_/Love+Again,804082.0,11222913.0,"Disco, pop, nu-disco, dance-pop, boogie"
5fxnoiUBJ5DMAQEYb2uFOr,¿Qué Ha Pasao'?,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,"Abraham Mateo, Sofía Reyes","2bxxlINUlcMQQb39K7IopR, 0haZhu4fFKt0Ag94kZDiz2",True,Sigo a Lo Mío,7mRlOJYRk9u7I8MteTkfzZ,2020-06-19,58,2020,latin,69,1631896,,Sigo a Lo Mío,album,10,2020-06-19,Sony Music Entertainment,Abraham Mateo,Abraham Mateo,¿Qué Ha Pasao'?,https://www.last.fm/music/Abraham+Mateo/_/%C2%BFQu%C3%A9+Ha+Pasao%27%3F,24080.0,170390.0,
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,False,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,2020-03-27,83,2020,pop,88,47434402,pop,Future Nostalgia,album,11,2020-03-27,Warner Records,Dua Lipa,Dua Lipa,Don't Start Now,https://www.last.fm/music/Dua+Lipa/_/Don%27t+Start+Now,1508775.0,23318102.0,"Disco, pop, nu-disco, dance-pop, dance"
3Z7JMhKrVBiMvMd0xV1vyI,A Partir De Hoy,David Bisbal,5gOJTI4TusSENizxhcG7jB,"David Bisbal, Sebastian Yatra","5gOJTI4TusSENizxhcG7jB, 07YUOmWljBTXwIseAUd9TW",True,En Tus Planes,63cRlzjRihSdheA6lKonRy,2020-01-02,68,2020,latin,71,4856772,"latin pop, villancicos",En Tus Planes,album,13,2020-01-02,Universal Music Spain S.L.,David Bisbal,David Bisbal,A Partir De Hoy,https://www.last.fm/music/David+Bisbal/_/A+Partir+De+Hoy,36210.0,241657.0,
1Ol5LmdNDNpFu1oNwfgkux,Tutu,Camilo,28gNT5KBp7IjEOQoevXf9N,"Camilo, Pedro Capó","28gNT5KBp7IjEOQoevXf9N, 4QVBYiagIaa6ZGSPMbybpy",True,Por Primera Vez,6xS6mQz1fQZ6eZE654J15I,2020-04-17,67,2020,latin,80,20575109,"colombian pop, pop urbano",Por Primera Vez,album,10,2020-04-17,Sony Music Latin,Camilo,Camilo,Tutu,https://www.last.fm/music/Camilo/_/Tutu,82486.0,564775.0,
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,False,THE ALBUM,71O60S5gIJSIAhdnrDIh3N,2020-10-02,72,2020,pop,82,57194978,k-pop,THE ALBUM,album,8,2020-10-02,YG Entertainment/Interscope Records,BLACKPINK,BLACKPINK,Lovesick Girls,https://www.last.fm/music/BLACKPINK/_/Lovesick+Girls,599784.0,11065366.0,"electropop, k-pop, dance-pop, pop, dance"
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,False,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,2020-03-27,79,2020,pop,88,47434402,pop,Future Nostalgia,album,11,2020-03-27,Warner Records,Dua Lipa,Dua Lipa,Break My Heart,https://www.last.fm/music/Dua+Lipa/_/Break+My+Heart,1095567.0,14712798.0,"pop, Disco, dance-pop, dance, nu-disco"
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,25uiPmTg16RbhZWAqwLBy5,Charli xcx,25uiPmTg16RbhZWAqwLBy5,False,how i'm feeling now,3a9qH2VEsSiOZvMrjaS0Nu,2020-05-15,84,2020,pop,84,6611921,"hyperpop, art pop",how i'm feeling now,album,11,2020-05-15,Atlantic Records UK,Charli xcx,Charli xcx,party 4 u,https://www.last.fm/music/Charli+xcx/_/party+4+u,1107974.0,18366400.0,"electropop, bubblegum bass, hyperpop, art pop, alternative rnb"
73nAK3HgQK8dak83Y2WQ8F,Vida de Rico,Camilo,28gNT5KBp7IjEOQoevXf9N,Camilo,28gNT5KBp7IjEOQoevXf9N,False,Vida de Rico,0MmIH2uM4bUsF5VbEkCKzT,2020-09-21,61,2020,latin,80,20575109,"colombian pop, pop urbano",Vida de Rico,single,1,2020-09-21,Sony Music Latin,Camilo,Camilo,Vida de Rico,https://www.last.fm/music/Camilo/_/Vida+de+Rico,52769.0,316197.0,
6FfLg6FFqhCsrFOaHIGkg0,Honeypie,JAWNY,25pd339V2rRJo84USlcSRP,JAWNY,25pd339V2rRJo84USlcSRP,False,For Abby,7KHTE99FaDr8r7V8BZG7WN,2020-10-27,78,2020,indie,64,426814,bedroom pop,For Abby,single,10,2020-10-27,Johnny Utah LLC,JAWNY,JAWNY,Honeypie,https://www.last.fm/music/Jawny/_/Honeypie,740497.0,6456994.0,"funk, indie, fire, Indie Funk, my top songs"
3eSJmGWqoBRx5wbFCtvPtz,Color Esperanza 2020,Diego Torres,0LALueHEQunQ2d61fXGeZh,"Diego Torres, Nicky Jam, Reik, Camilo, Pedro Capó, Manuel Turizo, Kany García, Leonel García, Río Roma, Lali","0LALueHEQunQ2d61fXGeZh, 1SupJlEpv7RS2tPNRaHViT, 0vR2qb8m9WHeZ5ByCbimq2, 28gNT5KBp7IjEOQoevXf9N, 4QVBYiagIaa6ZGSPMbybpy, 0tmwSHipWxN12fsoLcFU3B, 69UypehHabb68utzfjAVlV, 3t7UqWteBBmHXkcVhMSyay, 2O3v9rCTzLhPFaGaAVgZLt, 22P1OY4TRFRwhP0q29loQ8",True,Color Esperanza 2020,6EZE5e3vBZZkSsnyn1g1gb,2020-05-18,67,2020,latin,65,2352621,"latin pop, colombian pop",Color Esperanza 2020,compilation,1,2020-05-18,Sony Music Latin,Various Artists,Diego Torres,Color Esperanza 2020,https://www.last.fm/music/Diego+Torres/_/Color+Esperanza+2020,44024.0,126279.0,
