artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
Galvan Real,Te Amo y Te Odio,https://www.last.fm/music/Galvan+Real/_/Te+Amo+y+Te+Odio,241,991,
Ellie Goulding,Lights,https://www.last.fm/music/Ellie+Goulding/_/Lights,926402,8081699,"pop, electronic, british, female vocalists, dance"
Bossa Nova Covers,Dance Monkey,https://www.last.fm/music/Bossa+Nova+Covers/_/Dance+Monkey,10022,31837,
Valeria Castro,"ay, amor","https://www.last.fm/music/Valeria+Castro/_/ay,+amor",2112,10403,
Bossa Bros,Fix You,https://www.last.fm/music/Bossa+Bros/_/Fix+You,7005,24518,
Eve St. Jones,I Feel It Coming,https://www.last.fm/music/Eve+St.+Jones/_/I+Feel+It+Coming,10949,40668,
Ariana Grande,pov,https://www.last.fm/music/Ariana+Grande/_/pov,810209,11089546,"rnb, 2020s, Hip-Hop, soul, 2020"
Ouvindo,Blinding Lights,https://www.last.fm/music/Ouvindo/_/Blinding+Lights,12542,42756,
Locos De Atar,Que Tiemble Tu Mundo,https://www.last.fm/music/Locos+de+Atar/_/Que+Tiemble+Tu+Mundo,538,1524,
Kany García,Titanic,https://www.last.fm/music/Kany+Garc%C3%ADa/_/Titanic,9262,46490,
Forest Blakk,Fall Into Me,https://www.last.fm/music/Forest+Blakk/_/Fall+Into+Me,81250,486532,
Bossa Nova Covers,That's What I Like,https://www.last.fm/music/Bossa+Nova+Covers/_/That%27s+What+I+Like,8831,29063,
LiSA,紅蓮華,https://www.last.fm/music/Lisa/_/%E7%B4%85%E8%93%AE%E8%8F%AF,429767,4502347,"J-rock, j-pop, anime, rock, power pop"
Kygo,Higher Love,https://www.last.fm/music/Kygo/_/Higher+Love,381490,2785802,
Bossa Bros,Can't Take My Eyes off You,https://www.last.fm/music/Bossa+Bros/_/Can%27t+Take+My+Eyes+off+You,5140,18054,
Dua Lipa,Hallucinate,https://www.last.fm/music/Dua+Lipa/_/Hallucinate,624357,9303797,"pop, House, dance, Disco, dance-pop"
Nyno Vargas,"Hola, mi amor (feat. Lérica, Junco)","https://www.last.fm/music/Nyno+Vargas/_/Hola,+mi+amor+(feat.+L%C3%A9rica,+Junco)",1213,4433,
Cigarettes After Sex,You're All I Want,https://www.last.fm/music/Cigarettes+After+Sex/_/You%27re+All+I+Want,622926,6180950,"Lo-Fi, dream pop, indie pop, shoegaze, indie rock"
Leiva,Como Si Fueras a Morir Mañana - Madrid Nuclear - En Directo,https://www.last.fm/music/Leiva/_/Como+Si+Fueras+a+Morir+Ma%C3%B1ana+-+Madrid+Nuclear+-+En+Directo,1161,5485,
La Cebolla,Habibi - Remix,https://www.last.fm/music/La+Cebolla/_/Habibi+-+Remix,1027,3260,
Sebastian Yatra,Chica Ideal,https://www.last.fm/music/Sebastian+Yatra/_/Chica+Ideal,52216,318131,
Shinova,Te debo una canción,https://www.last.fm/music/Shinova/_/Te+debo+una+canci%C3%B3n,4367,40562,
Maria Becerra,High (Remix),https://www.last.fm/music/Maria+Becerra/_/High+(Remix),22798,203113,
Dua Lipa,Physical,https://www.last.fm/music/Dua+Lipa/_/Physical,979200,18233446,"pop, synthpop, dance, dance-pop, electropop"
Nara,Killing Me Softly With His Song,https://www.last.fm/music/Nara/_/Killing+Me+Softly+With+His+Song,8643,29871,
Bossa Bros,Shallow,https://www.last.fm/music/Bossa+Bros/_/Shallow,10033,34516,
Javi Medina,Dime Quién Soy Yo,https://www.last.fm/music/Javi+Medina/_/Dime+Qui%C3%A9n+Soy+Yo,229,503,
Lady Gaga,Rain On Me (with Ariana Grande),https://www.last.fm/music/Lady+Gaga/_/Rain+on+Me+(with+Ariana+Grande),899448,17528205,"Lady Gaga, pop, Ariana Grande, electropop, House"
La La Love You,El Fin del Mundo - Innmir & Elyella Remix,https://www.last.fm/music/La+La+Love+You/_/El+Fin+del+Mundo+-+INNMIR+&+ELYELLA+Remix,1406,4367,
BTS,ON,https://www.last.fm/music/BTS/_/ON,570830,34805384,"bts, Kpop, k-pop, pop, healing"
Black Eyed Peas,RITMO (Bad Boys For Life),https://www.last.fm/music/Black+Eyed+Peas/_/RITMO+(Bad+Boys+For+Life),274743,1543591,
Agust D,Daechwita,https://www.last.fm/music/Agust+D/_/Daechwita,521023,38608409,"rap, Korean, hip hop, angry, energy"
Katy Perry,Harleys In Hawaii,https://www.last.fm/music/Katy+Perry/_/Harleys+in+Hawaii,670344,10271978,"pop, tropical, 2019, katy perry, trap"
BTS,Blue & Grey,https://www.last.fm/music/BTS/_/Blue+&+Grey,326311,18172315,"dance, pop, v, bts, bangtan"
