artista,total_macro_generos,mezcla_generos
"Richard Ashcroft",2,"Pop + Otros"
"Rio Branco",2,"Otros + Pop"
RM,2,"Pop + Hip-Hop"
Rokudenashi,2,"Otros + Pop"
"Roy Bee",2,"Otros + Pop"
Rusherking,2,"Hip-Hop + Otros"
Ruzzi,2,"Latin + Indie"
Rvfv,2,"Otros + Latin"
"Ryokuoushoku Shakai",2,"Otros + Pop"
"Saad Lamjarred",2,"Otros + Pop"
Salistre,2,"Otros + Pop"
"Samuel G",2,"Otros + Latin"
"Santiago Cruz",2,"Pop + Otros"
"Sarah Menescal",2,"Otros + Pop"
Saramalacara,2,"Hip-Hop + Pop"
"Sebastian Yatra",2,"Pop + Latin"
"SEKAI NO OWARI",2,"Otros + Pop"
"she's green",2,"Pop + Indie"
"Shi 360",2,"Otros + Hip-Hop"
Shitao,2,"Indie + Otros"
"Silvestre Dangond",2,"Pop + Latin"
"Silvio Rodríguez",2,"Latin + Otros"
"Simple Plan",2,"Otros + Pop"
skaiwater,2,"Pop + Otros"
"Sons Of The East",2,"Pop + Indie"
Spectateur,2,"Indie + Otros"
SPINALL,2,"Otros + Pop"
Standly,2,"Latin + Hip-Hop"
"Stella Starlight Trio",2,"Otros + Pop"
Stormy,2,"Hip-Hop + Pop"
"Stray Kids",2,"Pop + Otros"
SuperM,2,"Pop + Otros"
"Surprise Chef",2,"Indie + Otros"
TAEYEON,2,"Otros + Pop"
TAEYONG,2,"Pop + Otros"
"Tame Impala",2,"Indie + Otros"
Tayc,2,"Otros + Pop"
"te vi en un planetario",2,"Latin + Indie"
"The Avett Brothers",2,"Otros + Indie"
"The B.L.U.N.T.E.D. Crew",2,"Otros + Hip-Hop"
"The Human League",2,"Otros + Pop"
"The Lumineers",2,"Pop + Indie"
"The Moleskins",2,"Otros + Pop"
"The Rose",2,"Pop + Otros"
"The Silhouettes Project",2,"Indie + Hip-Hop"
"The Strokes",2,"Indie + Otros"
"The Verve",2,"Pop + Indie"
"Therapie TAXI",2,"Otros + Pop"
"Thomas Iannucci",2,"Otros + Hip-Hop"
"Tiago PZK",2,"Hip-Hop + Latin"
Tiagz,2,"Latin + Otros"
"Tito Double P",2,"Otros + Latin"
"Tiwa Savage",2,"Otros + Pop"
Tokischa,2,"Latin + Otros"
"Tu Otra Bonita",2,"Otros + Pop"
"TWENTY SIX",2,"Latin + Otros"
"Ulises Bueno",2,"Otros + Latin"
"Un León Marinero",2,"Latin + Indie"
"Valentino Merlo",2,"Otros + Latin"
Vampyx,2,"Pop + Otros"
"Vanesa Martín",2,"Otros + Pop"
Vegyn,2,"Hip-Hop + Otros"
"Victor Mendivil",2,"Otros + Latin"
"Victor Muñoz",2,"Pop + Latin"
"Victor Valverde",2,"Otros + Latin"
Wakyin,2,"Otros + Latin"
WeiBird,2,"Pop + Otros"
"Willie The Kid",2,"Otros + Hip-Hop"
Wizkid,2,"Otros + Pop"
WOODZ,2,"Pop + Otros"
X-Raided,2,"Otros + Hip-Hop"
yama,2,"Otros + Pop"
"Yameii Online",2,"Otros + Pop"
Yango,2,"Latin + Otros"
"Yng Lvcas",2,"Latin + Otros"
YOASOBI,2,"Otros + Pop"
"Young Cister",2,"Latin + Hip-Hop"
Zaider,2,"Otros + Latin"
Zartmann,2,"Indie + Pop"
ZICO,2,"Pop + Hip-Hop"
"ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ",2,"Otros + Pop"
劉瑞琦,2,"Pop + Otros"
卢卢快闭嘴,2,"Pop + Otros"
小阿七,2,"Pop + Otros"
张远,2,"Pop + Otros"
星野,2,"Pop + Otros"
李润祺,2,"Pop + Otros"
梦然,2,"Pop + Otros"
温奕心,2,"Pop + Otros"
苏星婕,2,"Pop + Otros"
蒋小呢,2,"Pop + Otros"
邹沛沛,2,"Pop + Otros"
郑润泽,2,"Pop + Otros"
陈子晴,2,"Pop + Otros"
陈村长,2,"Pop + Otros"
颜人中,2,"Pop + Otros"
