artist_id,artist_popularity,artist_followers,artist_genres
22P1OY4TRFRwhP0q29loQ8,67,2167271,
3eVa5w3URK5duf6eyVDbu9,81,14046423,k-pop
1WgCdu3YOI6rVp6Hr4NSc2,55,342493,manele
7B1LLuCQk13H4Mb6CFBftU,51,244912,"tech house, latin house"
5ClJtuiNlr83ua45Dvpcf7,59,1244190,"trova, colombian pop, latin pop"
0rNWn0b2f8PiL8VAdDR152,40,19285,
3ORiPD4KjKZ3mOYOVko4Ud,49,3006,jazz house
1OGwUf0F69wrVxXYW3e9Nl,44,18911,"flamenco urbano, flamenco"
3zZ88AwlTwfCJkowsFCvLA,65,405649,
3bM1MZ42q6lUJqHDaDwcKr,45,35848,"french pop, french indie pop, variété française, french house"
6FkhhThDYLWLji5N8uRn0Z,44,6842,"flamenco pop, flamenco, flamenco urbano"
6Z9Xe5mjocmPOhz2TLNrAi,49,295742,"afrobeats, afrobeat, hiplife, afropop, afro r&b, afropiano"
6TKygPpVT29oGUogu4J9Ec,83,1982313,
5EM6xJN2QNk0cL7EEm9HR9,59,417337,indie folk
1vKI4FS197k8YsbicgSl0s,13,608,aussie drill
1H6X7yhnXZg73f9bssaj1Q,67,252044,
0jRYL7EhQ5whZZyrf9XQa9,50,76180,"flamenco, flamenco pop"
6lkrkVSqgzJZz2jguafSAy,66,89728,bossa nova
3mIj9lX2MWuHmhNCA7LSCW,79,8131990,
7I3bkknknQkIiatWiupQgD,67,1066492,
1v5zT9eMzk7HFDyDrowkar,0,0,
7KSt9QQ4JnUNszUdK4fze3,19,2234,
4NMzrymQlZzpXs0LT3Arei,53,251275,
1vBn5Puz4mdZopZEHq1QDq,59,273411,
6XyAI3jtlsss5mJjAAJXzE,49,79324,
218ezXuWpy2qTvrsiSKOnQ,1,348,
4qU7IJSReZnsLy5907Mtau,68,333214,
2HpfqDQ8DBQlnrbAsdIh7s,64,439487,slowcore
4iDroUFo89Y7YBsdDTBmTD,62,690377,
0aULg7LximLNhI6lLzxcXI,65,123497,electro corridos
2UMj7NCbuqy1yUZmiSYGjJ,70,3114745,"brazilian funk, funk carioca, brega funk"
5QdyldG4Fl4TPiOIeMNpBZ,71,1389881,
7t5x0xpXvU7VcbmOmdNwhT,0,0,
4UIOuc84ExWojcUzFGtb8W,60,897259,anime
2IdDxiUkjLI0WfypRO1Rh3,61,162113,
56OjNTX2bkrdGcB0staUOV,54,117092,bedroom pop
0b1sIQumIAsNbqAoIClSpy,80,19688035,"k-pop, k-rap"
1AgxgADPuRIW1wyaA4OKcB,65,631975,
0mAPTTqLB4566DmLPKt547,4,429,
7CGSp2GbiOpLPSq61qjxf8,53,263811,hyperpop
0j5CGslS41MUjK6uekSHZU,36,20738,"afrogospel, gospel"
0YSk6QzaRLNlR5Xnlj54dS,11,2681,
5tyKjhNNkO0vMc3qzVGjSD,2,328,
0tmwSHipWxN12fsoLcFU3B,83,16041390,"reggaeton, pop urbano, latin, colombian pop"
4IndUOBCZYZg61557iq2A9,60,169123,reggaeton
6LRccuxVVYoqRQif85sG9j,63,122986,"corrido, corridos tumbados, corridos bélicos, sierreño"
1owYPqqX6qgsRRQsocw3Bm,11,1187,"christian hip hop, cedm"
7gOdHgIoIKoe4i9Tta6qdD,79,7816006,
3UTF2no3muGdiFXVujl94i,81,1236891,latin afrobeats
3FaXl02DdDAFcKN0CDp8ma,25,4103,
1f9suOMh8g32gAfMAHoNCI,28,21156,
6MPCFvOQv5cIGfw3jODMF0,67,1078792,
4oFwW8GNt4Seyt1dK3ij2S,54,124080,"flamenco, flamenco urbano, flamenco pop"
3TNt4aUIxgfy9aoaft5Jj2,68,1503683,indie rock
4BsEBIWjSkAY7XIjt7yFHi,11,7559,
59nXfDLYaaiz0UkUrQAdjY,17,3148,experimental hip hop
1fZpYWNWdL5Z3wrDtISFUH,58,596748,indie folk
6W9RUw7xnNRYtgh8dimg7L,53,210055,quiet storm
4pvvhffb5CTrWsrTCf3tMa,34,33285,"lo-fi indie, bedroom pop"
6tRT8DibGiNSkXViROkIBn,36,14469,
3C5CHhcmTTpACWAuWW1Y1j,0,60,
0giUOGLTAaVVbdr7aSwM0N,37,37539,"underground hip hop, boom bap, hardcore hip hop"
1JspXUvEv3D9ddMeLNqYWj,51,143963,
4SpsVETdnMLwPHyOW0FlQz,57,268198,"chinese r&b, mandopop, c-pop, chinese hip hop"
1zng9JZpblpk48IPceRWs8,72,4673324,"salsa, merengue"
4zOhMWD0LoBe2nP7s9cHhX,56,192355,"trap latino, urbano latino"
7GQDI5Vmxs92RsIRZzYT11,70,1138772,
0jnsk9HBra6NMjO2oANoPY,82,9115687,
2sOErXYVMC4jCWVvBPI19l,38,117525,
4TLna5dZJK26djhdP36lmj,42,71261,manele
52xFD63HOD9jI2b5WuNeej,7,729,jungle
32LARaUrqWNBW4XHRNdcIw,2,803,
1P3JVgwIxNSfLJAO1X4OUJ,0,1,
4ZPiabRclxJHc90C0eY8xh,49,1958546,"punjabi pop, punjabi hip hop, bhangra"
5qDHSVgbihcm6oiWCbyNq4,6,1277,
1QqVb6hXdzGddCnqasjCA5,0,1,
7cEl8zx3ZhON0kgxD4fz0F,8,869,
5jAMCwdNHWr7JThxtMuEyy,60,329075,
07YUOmWljBTXwIseAUd9TW,79,24525518,"colombian pop, reggaeton"
48wt14F9gzlkNDRdXyJTQz,52,50286,"hyperpop, glitch"
4P9xDIEyrtAeXRI6xOl2TS,45,105287,
3zYXSt9gt7BL0ZeeiPZoUj,45,10819,
76V2bmVDlYdUMLVXCnAgKq,16,5886,
64n1KPSsljwQBru6pIFOpN,4,270,
1b2FoWoAZPZ9ijCr6EQmt3,38,11492,"flamenco, flamenco urbano, flamenco pop"
1qBX4btDhWlSmttcEXXf8W,0,1,
3mPkGrYg96KS7GChwAkAPj,0,32,
0wdnRK3to8rfGCgKaBjnAR,4,1545,
6UcJxoeHWWWyT5HZP064om,63,503501,
7zkFPt8HRSSN5dYd7peqDJ,0,313,
4qFxP3qN9GsnZDOkAE6x2m,72,8861869,"opm, pinoy indie, p-pop, harana, pinoy alternative, parang, kundiman, batak, pinoy rock"
7BLGrzqCy8NElaGewQS6K5,43,53001,"flamenco, flamenco pop, flamenco urbano"
1snhtMLeb2DYoMOcVbb8iB,80,7844894,"j-pop, anime, j-rock"
3SYnDj7btg9gFY7ps8m5d5,57,34391,
6tYuW96NhiYI3sAxEDsqK4,54,836960,"colombian pop, popular colombian music, latin pop, ranchera"
1BdJTdGgEEhgwxj08lcQVi,43,919,
23zg3TcAtWQy7J6upgbUnj,83,14178116,r&b
6DoH7ywD5BcQvjloe9OcIj,65,1109600,
6goQbtqjPhPns8RVRXTyp7,52,41886,hyperpop
4wrzxtBZw20ufDstKyTnnP,62,369965,
2VSRhqonKsL7KRAIk8SMmt,62,244103,"latin indie, mexican indie, latin alternative"
35gAqHM3Qr5afWZUmfMi6e,40,1223,"chinese r&b, chinese hip hop, c-pop"
2VvIMgT14KqJyUTVKEUw8O,46,4638,
2hJigwTqQU3CFE4AUGb1Qv,19,761,alté
6BMp2cQhN9C3Vl8PLzLvw9,47,40779,
2y2zsEIM0NTeGwkxcnGmvo,44,86538,singer-songwriter
3rqKgkODmiyDdimpz5D3y1,62,247078,reggaeton
3tQrRoZiGXR5uMkaCYf8S4,49,22055,
4kTuUw3Y2UtFSOVOUYc1HW,0,6,
3OZZeMIZnTvQKjfQEEqx6C,41,20138,christmas
5LF6dG14gN6is7tby6bqRR,45,14049,
4fxd5Ee7UefO4CUXgwJ7IP,80,5523561,r&b
1hWh4VJXSSsQeqcxKkHqcK,39,5498,neoperreo
1fcRYuD8sT444XPBvBjR5g,28,65,
0vn7UBvSQECKJm2817Yf1P,67,2907967,"folk rock, singer-songwriter, soft rock"
4yvcSjfu4PC0CYQyLy4wSq,76,4632210,
4G4om3U7TKES0hDBQYYVy7,29,12114,
5qMHOzLlXeOEjOncWYtRfZ,63,17475,
6FPxOArEPVZUDv925qq8IQ,57,185642,
3Nvjwz6gDry7Uume9kjCBT,43,23731,nz reggae
7yFmnMMffSULby54UYhD1b,57,19225,
3nmIhdaIgxDQCaUiw6k3PP,57,43413,synthwave
5bp4bA5lgte1Iag0omrGYw,24,6398,
