track_id,track,artist,artistid,all_artists_names,all_artists_ids,collaboration,album,album_id,track_release_date,track_popularity,track_year,genre_extracted,artist_popularity,artist_followers,artist_genres,album_name,album_type,total_tracks,album_release_date,label,album_artists
4jcxBTrNvyqMJdMDyyjdYV,Dime Cómo Quieres,Christian Nodal,0XwVARXT135rw8lyw1EeWP,"Christian Nodal, Ángela Aguilar","0XwVARXT135rw8lyw1EeWP, 3abT87tqQ4Q5PA5nw6CYyH",True,AYAYAY! (Súper Deluxe),1OlyomFZOv4Lx22rs4lBMw,2020-11-13,66,2020,latin,80,16279698,"banda, ranchera, mariachi, norteño, música mexicana, grupera",AYAYAY! (Súper Deluxe),album,14,2020-11-13,Universal Music Mexico,Christian Nodal
2g9Iak3E1hlUL8Q7s3XAJl,No Te Quiero Perder,Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,False,Diaz Antes,5gk9ozZKJuosICdYgwa5JW,2020-12-30,61,2020,latin,77,1628844,,Diaz Antes,album,17,2020-12-30,Alvaro Diaz Mexico ICO,Alvaro Diaz
7MCFjPDImfjQv7GynHgVrR,Colocao,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,False,Colocao,3VH9BRaAzvy7n9X5DNdHxm,2020-05-13,52,2020,latin,75,8919344,argentine trap,Colocao,single,1,2020-05-13,Sony Music Latin/DALE PLAY Records,Nicki Nicole
1MZqHpFyB4j5tFCFNvURou,"Cazzu: Bzrp Music Sessions, Vol. 32/66",Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Bizarrap, Cazzu","716NhGYqD1jl2wI1Qkgq36, 6w3SkAHYPsQ1bxV7VDlG5y",True,"Cazzu: Bzrp Music Sessions, Vol. 32/66",0zNLQbLwk1g9C4Ic5hnme2,2020-08-05,60,2020,latin,82,18471146,"argentine trap, trap latino, urbano latino","Cazzu: Bzrp Music Sessions, Vol. 32/66",single,1,2020-08-05,DALE PLAY Records,Bizarrap
5tX02gT87DQHguTWAC4WE8,Las Cuatro Fiestas,Diomedes Diaz,66NweiA3nU84k1S3SZdTSG,"Diomedes Diaz, Juancho Rois","66NweiA3nU84k1S3SZdTSG, 0ZDAU5BLvLXTYqlrjW6KF1",True,Diomedes Diaz: 25 de Diciembre,2reMBGTxiIOK3d1kpvQS24,2020-11-12,61,2020,latin,69,6608894,vallenato,Diomedes Diaz: 25 de Diciembre,single,5,2020-11-12,Sony Music Entertainment,Diomedes Diaz
4OwhwvKESFtuu06dTgct7i,Tiroteo - Remix,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,"Marc Seguí, Rauw Alejandro, Pol Granch","5FQ8tBUtIamA2hRtatrYUF, 1mcTU81TzQhprhouKaTkpq, 1aMt4A5jrQHxDYyC7rXgV0",True,Tiroteo (Remix),2Ke07jWpOWaNVYpNMmXt7C,2021-04-01,85,2021,latin,70,249180,,Tiroteo (Remix),single,1,2021-04-01,WEA Latina,Marc Seguí
62pg2fFuBb6zgU2gqJR8kP,Flores en Anónimo,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,False,Sauce Boyz 2,4JaYe7HIddzNaF3rUgJzHI,2021-12-02,67,2021,latin,81,9361164,"trap latino, urbano latino, trap",Sauce Boyz 2,album,22,2021-12-02,Rimas Entertainment LLC,Eladio Carrion
4M6xyu1AHnaWAN8lHMNeo0,Volando,Mora,0Q8NcsJwoCbZOHHW63su5S,Mora,0Q8NcsJwoCbZOHHW63su5S,False,Primer Dia de Clases,5r8T7S23cVDSd7a045h4N5,2021-02-05,65,2021,latin,83,8554431,"urbano latino, trap latino, reggaeton",Primer Dia de Clases,album,16,2021-02-05,Rimas Entertainment LLC,Mora
5ANkjNH7elrxzggidjnH9v,23 Preguntas,Anuel AA,2R21vXR83lH98kGeO99Y66,Anuel AA,2R21vXR83lH98kGeO99Y66,False,23 Preguntas,0iLhDl4hlkoBXLtsfhUg56,2021-08-23,72,2021,latin,90,46295930,"reggaeton, trap latino, urbano latino, latin",23 Preguntas,single,1,2021-08-23,"Real Hasta La Muerte, LLC",Anuel AA
5bQLsyTrUaMQRfr6whwGe5,Aquel Nap ZzZz,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,False,VICE VERSA,2Nt6MDJXfoxQ22tIQgWXIh,2021-12-10,80,2021,latin,90,32288478,"reggaeton, urbano latino, trap latino, latin",VICE VERSA,album,14,2021-12-10,Sony Music Latin/Duars Entertainment,Rauw Alejandro
1QigNNcv8c5X2iL294bZev,MÍRENME AHORA,Myke Towers,7iK8PXO48WeuP03g8YR51W,Myke Towers,7iK8PXO48WeuP03g8YR51W,False,LYKE MIKE,5qhxJXwhtjXAmCr22FXG3Q,2021-04-23,69,2021,latin,87,22835706,"reggaeton, trap latino, urbano latino",LYKE MIKE,album,23,2021-04-23,WEA Latina,Myke Towers
2zdHRQTOBDk8mM8xBzziFh,Todo o Nada,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,"Eladio Carrion, Corina Smith","5XJDexmWFLWOkjOEjOVX3e, 7mXfsy3lF4kU0f2KTNKSr8",True,Monarca,6N1iKBKY8zRGImxADk2IdN,2021-01-08,66,2021,latin,81,9361164,"trap latino, urbano latino, trap",Monarca,album,14,2021-01-08,Rimas Entertainment LLC,Eladio Carrion
073yIM7v2j6XadD4Nkn0Fh,Dile (Homenaje),JHAYCO,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,False,Timelezz,3AwzfcsXeljU7JkG5GQn8Y,2021-09-03,63,2021,latin,82,9736204,"reggaeton, trap latino, urbano latino",Timelezz,album,17,2021-09-03,N&E Entertainment LLC,JHAYCO
2CEf2gU5ZJamLXa3NrgAvA,Desenfocao',Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,False,VICE VERSA,2Nt6MDJXfoxQ22tIQgWXIh,2021-12-10,79,2021,latin,90,32288478,"reggaeton, urbano latino, trap latino, latin",VICE VERSA,album,14,2021-12-10,Sony Music Latin/Duars Entertainment,Rauw Alejandro
27RSJHEA99Y0Vsow7nA37A,911 (Remix),Sech,77ziqFxp5gaInVrF2lj4ht,"Sech, JHAYCO","77ziqFxp5gaInVrF2lj4ht, 6nVcHLIgY5pE2YCl8ubca1",True,911 (Remix),57ppCWTeAnqooyrR4DzbwR,2021-07-09,69,2021,latin,80,12087042,"reggaeton, urbano latino",911 (Remix),single,1,2021-07-09,Rich Music,Sech
4c1ctuRjzpGnIstw79HnZT,Universitaria,Quevedo,52iwsT98xCoGgiGntTiR7K,Quevedo,52iwsT98xCoGgiGntTiR7K,False,Universitaria,7eob6eYzuHZLWix1lnYZj3,2021-05-15,58,2021,latin,84,6633746,,Universitaria,single,1,2021-05-15,Rimas Entertainment LLC.,Quevedo
0MEZYGMSPxNwUO4nAdQRBW,Hola Como Vas,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,False,Sauce Boyz 2,4JaYe7HIddzNaF3rUgJzHI,2021-12-02,72,2021,latin,81,9361164,"trap latino, urbano latino, trap",Sauce Boyz 2,album,22,2021-12-02,Rimas Entertainment LLC,Eladio Carrion
5PDAIujdENp9OI9qvJbOx5,Giuseppe,Luar La L,4axKuDPr6WKcDCyh8vueTY,Luar La L,4axKuDPr6WKcDCyh8vueTY,False,Giuseppe,5IZTDJtbyryBzSZVjw7ywa,2021-02-19,65,2021,latin,80,3096700,trap latino,Giuseppe,single,1,2021-02-19,"Sinfonico G4, LLC",Luar La L
6b2HYgqcK9mvktt4GxAu72,Loco,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"Justin Quiles, Chimbala, Zion & Lennox","14zUHaJZo1mnYtn6IBRaRP, 4VVEpEhC8NcR7AqNEds42U, 21451j1KhjAiaYKflxBjr1",True,La Última Promesa,4AHHM76jyqUiC1HRd37ZQQ,2021-08-19,68,2021,latin,79,5110398,reggaeton,La Última Promesa,album,14,2021-08-19,WEA Latina,Justin Quiles
6mmPpaltUZK7xjNlBPQQ0p,Desesperados,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"Rauw Alejandro, Chencho Corleone","1mcTU81TzQhprhouKaTkpq, 37230BxxYs9ksS7OkZw3IU",True,VICE VERSA,2Nt6MDJXfoxQ22tIQgWXIh,2021-12-10,79,2021,latin,90,32288478,"reggaeton, urbano latino, trap latino, latin",VICE VERSA,album,14,2021-12-10,Sony Music Latin/Duars Entertainment,Rauw Alejandro
2BEcap3xJtmiPaHKyfQi4e,Nostálgico,Rvssian,1fctva4kpRbg2k3v7kwRuS,"Rvssian, Rauw Alejandro, Chris Brown","1fctva4kpRbg2k3v7kwRuS, 1mcTU81TzQhprhouKaTkpq, 7bXgB6jMjp9ATFy66eO08Z",True,Nostálgico,3752EkZZ1wjEzZ1MRd9rsV,2021-09-08,77,2021,latin,73,2740932,trap latino,Nostálgico,single,1,2021-09-08,Sony Music Latin,Rvssian
3f2kfhyIZSReDGO1cNhxVb,Bandido - Remix,Cyril Kamer,3J1MhhyXLJRNRZVrx11Lbf,"Cyril Kamer, Rvfv, Cano","3J1MhhyXLJRNRZVrx11Lbf, 2CCgb0KApjfQDuTppovpf8, 60ZOYUFnCYEeKYsxgvPxOS",True,Bandido (Remix),7iAGJYJBqOvHh1XiHjT1G3,2021-12-23,58,2021,latin,63,582815,drill,Bandido (Remix),single,1,2021-12-23,Cyril Kamer.,Cyril Kamer
4dyzxv5SsdBtunuU3qj7Ti,Me Hace Daño Verte,Fresto Music,66q6iqbR9rh3jJNlGEnQvB,Fresto Music,66q6iqbR9rh3jJNlGEnQvB,False,Trovando El Son,0fSaofDMk7H5ZUJ98SH5Uu,2021-04-20,76,2021,latin,61,152133,"salsa, son cubano, timba",Trovando El Son,album,8,2021-04-20,Codiscos,Fresto Music
5xSt1wxZobFcLzHrFakv6z,COSAS QUE NO TE DIJE,SAIKO,2O8vbr4RYPpk6MRA4fio7u,SAIKO,2O8vbr4RYPpk6MRA4fio7u,False,COSAS QUE NO TE DIJE,52te2AyrVAYPc04onR1Lfy,2021-09-17,79,2021,latin,74,1967024,,COSAS QUE NO TE DIJE,single,1,2021-09-17,WM Spain,SAIKO
2rCbl9naJYhaxjLsfx88uM,Pareja Del Año,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,"Sebastian Yatra, Myke Towers","07YUOmWljBTXwIseAUd9TW, 7iK8PXO48WeuP03g8YR51W",True,Pareja Del Año,202FLmfHxcvLHPiqmAjWyJ,2021-04-16,70,2021,latin,79,24525518,"colombian pop, reggaeton",Pareja Del Año,single,1,2021-04-16,UMLE - Latino,Sebastian Yatra
6c32C8T3KlXrbvWSoD5aON,EXPERIMENTO,Myke Towers,7iK8PXO48WeuP03g8YR51W,Myke Towers,7iK8PXO48WeuP03g8YR51W,False,EXPERIMENTO,1KKwufGzWD4zIKqlBCtwWv,2021-09-23,70,2021,latin,87,22835706,"reggaeton, trap latino, urbano latino",EXPERIMENTO,single,1,2021-09-23,WEA Latina,Myke Towers
