año,mes,genero,festival,media_popularidad,media_oyentes,media_reproducciones
2020,2,pop,"No Festival",64.42,309657,14310417
2020,3,pop,Lollapalooza,62.37,374275,5257925
2020,4,pop,Coachella,57.15,90762,860774
2020,5,pop,"No Festival",60.33,185468,3606375
2020,6,pop,"Primavera Sound",61.74,162640,3034392
2020,7,pop,"No Festival",59.16,128038,2394256
2020,8,pop,"No Festival",60.09,165566,8641106
2020,9,pop,"No Festival",60.67,117830,4636438
2020,10,pop,"No Festival",62.28,278798,4298728
2020,11,pop,"No Festival",62.07,228395,9969864
2020,12,pop,"Red Bull Batalla",59.41,150968,1883982
2021,1,pop,"No Festival",64.00,160980,1781092
2021,2,pop,"No Festival",60.85,294492,3773063
2021,3,pop,Lollapalooza,61.65,137688,2597017
2021,4,pop,Coachella,61.21,215245,3948279
2021,5,pop,"No Festival",63.19,281442,5530348
2021,6,pop,"Primavera Sound",59.90,286004,8915108
2021,7,pop,"No Festival",58.30,102911,3962197
2021,8,pop,"No Festival",62.72,175753,2926578
2021,9,pop,"No Festival",59.83,227288,7462384
2021,10,pop,"No Festival",59.83,177421,3791171
2021,11,pop,"No Festival",62.35,232152,3244007
2021,12,pop,"Red Bull Batalla",60.82,99500,1523367
2022,1,pop,"No Festival",62.00,147199,1927146
2022,2,pop,"No Festival",61.32,109768,2981531
2022,3,pop,Lollapalooza,60.97,111238,1646748
2022,4,pop,Coachella,60.65,91485,1322667
2022,5,pop,"No Festival",63.41,185098,3359535
2022,6,pop,"Primavera Sound",63.06,264143,20693851
2022,7,pop,"No Festival",64.72,294412,8629147
2022,8,pop,"No Festival",65.71,317951,7003388
2022,9,pop,"No Festival",62.56,163072,3599099
2022,10,pop,"No Festival",64.02,240963,7134306
2022,11,pop,"No Festival",62.77,134464,2354955
2022,12,pop,"Red Bull Batalla",63.35,114253,5181929
2023,1,pop,"No Festival",65.58,271506,6868840
2023,2,pop,"No Festival",62.90,183540,2502322
2023,3,pop,Lollapalooza,66.35,337497,29218495
2023,4,pop,Coachella,64.11,161007,9670100
2023,5,pop,"No Festival",65.82,271409,5152769
2023,6,pop,"Primavera Sound",68.04,120855,2754182
2023,7,pop,"No Festival",67.70,360666,17664964
2023,8,pop,"No Festival",64.70,148249,14739599
2023,9,pop,"No Festival",69.95,582652,15129336
2023,10,pop,"No Festival",65.23,239793,5440843
2023,11,pop,"No Festival",69.12,301040,18526448
2023,12,pop,"Red Bull Batalla",66.00,174800,3886241
2024,1,pop,"No Festival",66.13,172523,3024304
2024,2,pop,"No Festival",67.00,208548,3115309
2024,3,pop,Lollapalooza,71.29,472694,13763213
2024,4,pop,Coachella,69.02,375234,9130148
2024,5,pop,"No Festival",69.80,270057,6762609
2024,6,pop,"Primavera Sound",71.57,517578,11443862
2024,7,pop,"No Festival",68.56,165421,26477503
2024,8,pop,"No Festival",73.14,530989,9649999
2024,9,pop,"No Festival",68.07,187756,3723817
2024,10,pop,"No Festival",69.12,234680,4949656
2024,11,pop,"No Festival",66.50,73362,3917327
2024,12,pop,"Red Bull Batalla",71.21,141116,2512866
